discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link
STA,Le Sauce Andy,FR,7:16,12/6/1994,WR Attempt - LESAUCE Andy (STA),Men,https://fr.wikipedia.org/wiki/Andy_Le_Sauce,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000001,not_found,not_found
STA,Le Sauce Andy,FR,7:06,1/16/1994,WR Attempt - LESAUCE Andy (STA),Men,https://fr.wikipedia.org/wiki/Andy_Le_Sauce,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000001,not_found,not_found
STA,Le Sauce Andy,FR,6:48,1/8/1994,WR Attempt - LESAUCE Andy (STA),Men,https://fr.wikipedia.org/wiki/Andy_Le_Sauce,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000001,not_found,not_found
DYNB,Malina Mateusz,PL,250,10/13/2019,Hydro Dynamic 2019,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,not_found,not_found
DYNB,Milosic Boris,HR,234,2/23/2019,13th Serbian Open Freediving Championship - Belgrade 2019,Men,None,https://athletes.aidainternational.org/Profile-f46798d8-aa12-4581-94fa-259d01990dff,WORLD RECORD 234m Bifins - Boris Milosic (22),https://www.youtube.com/watch?v=bvdMIX-0CLE
DYNB,Maričić Vitomir,HR,234,2/23/2019,13th Serbian Open Freediving Championship - Belgrade 2019,Men,https://hr.wikipedia.org/wiki/Vitomir_Mari%C4%8Di%C4%87,https://athletes.aidainternational.org/Profile-900feea2-6eff-40b5-ae30-a72f710137fe,not_found,not_found
NLT,Nitsch Herbert,AT,214,6/9/2007,WR Attempt - NITSCH Herbert(NLT-VWT-CWT-STA-CNF-FIM),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#20 2007 No Limit 702 ft (214 m),https://www.youtube.com/watch?v=ierAsmNk4pI
NLT,Nitsch Herbert,AT,185,6/9/2007,WR Attempt - NITSCH Herbert(NLT-VWT-CWT-STA-CNF-FIM),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
NLT,Nitsch Herbert,AT,183,8/25/2006,"WR Attempt - NITSCH Herbert(CWT, CNF, FIM, VWT, NLT and STA)",Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Herbert Nitsch World Record 183m,https://www.youtube.com/watch?v=z2xjMC5gnOI
NLT,Nitsch Herbert,AT,172,10/2/2005,WR ATTEMPT - NITSCH Herbert (NLT),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
NLT,Leferme Loic,FR,171,10/30/2004,WR Attempt - LEFERME Loic (NLT),Men,https://en.wikipedia.org/wiki/Lo%C3%AFc_Leferme,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000034,Loic Leferme - 171 m : D DAY,https://www.youtube.com/watch?v=jX1nK78tcw4
NLT,Leferme Loic,FR,162,10/20/2002,WR Attempt - LEFERME Loic (NLT),Men,https://en.wikipedia.org/wiki/Lo%C3%AFc_Leferme,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000034,not_found,not_found
